"category","sub_category","aggregation_date","millions_of_dollar","pipeline_exc_datetime"
"Cereals and bakery products","Bakery products","1967-09-01","7373","2024-07-02"
"Cereals and bakery products","Bakery products","1967-11-01","7362","2024-07-02"
"Cereals and bakery products","Bakery products","1966-07-01","7404","2024-07-02"
"Cereals and bakery products","Bakery products","1966-04-01","7389","2024-07-02"
"Cereals and bakery products","Bakery products","1966-03-01","7348","2024-07-02"
"Cereals and bakery products","Bakery products","1965-12-01","7228","2024-07-02"
"Cereals and bakery products","Bakery products","1965-10-01","7209","2024-07-02"
"Cereals and bakery products","Bakery products","1965-11-01","7075","2024-07-02"
"Cereals and bakery products","Bakery products","1964-12-01","6752","2024-07-02"
"Cereals and bakery products","Bakery products","1964-08-01","6614","2024-07-02"
"Cereals and bakery products","Bakery products","1964-07-01","6593","2024-07-02"
"Cereals and bakery products","Bakery products","1963-08-01","6342","2024-07-02"
"Cereals and bakery products","Bakery products","1963-11-01","6312","2024-07-02"
"Cereals and bakery products","Bakery products","1963-07-01","6304","2024-07-02"
"Cereals and bakery products","Bakery products","1961-04-01","6207","2024-07-02"
"Cereals and bakery products","Bakery products","1961-03-01","6200","2024-07-02"
"Cereals and bakery products","Bakery products","1961-02-01","6193","2024-07-02"
"Cereals and bakery products","Bakery products","1962-09-01","6263","2024-07-02"
"Cereals and bakery products","Bakery products","1962-10-01","6184","2024-07-02"
"Cereals and bakery products","Bakery products","1962-11-01","6175","2024-07-02"
"Cereals and bakery products","Bakery products","1960-04-01","6274","2024-07-02"
"Cereals and bakery products","Bakery products","1960-11-01","6230","2024-07-02"
"Cereals and bakery products","Bakery products","1960-07-01","6206","2024-07-02"
"Cereals and bakery products","Bakery products","1959-12-01","6200","2024-07-02"
"Cereals and bakery products","Bakery products","1959-10-01","6154","2024-07-02"
"Cereals and bakery products","Bakery products","1959-09-01","6152","2024-07-02"
"Cereals and bakery products","Cereals","2020-03-01","68607","2024-07-02"
"Cereals and bakery products","Cereals","2020-05-01","61181","2024-07-02"
"Cereals and bakery products","Cereals","2020-07-01","60868","2024-07-02"
"Cereals and bakery products","Cereals","2019-08-01","55727","2024-07-02"
"Cereals and bakery products","Cereals","2019-07-01","55679","2024-07-02"
"Cereals and bakery products","Cereals","2019-11-01","55463","2024-07-02"
"Cereals and bakery products","Cereals","2018-11-01","54103","2024-07-02"
"Cereals and bakery products","Cereals","2018-10-01","53794","2024-07-02"
"Cereals and bakery products","Cereals","2018-08-01","53606","2024-07-02"
"Cereals and bakery products","Cereals","2017-12-01","53178","2024-07-02"
"Cereals and bakery products","Cereals","2017-11-01","52507","2024-07-02"
"Cereals and bakery products","Cereals","2017-10-01","52368","2024-07-02"
"Cereals and bakery products","Cereals","2016-12-01","50844","2024-07-02"
"Cereals and bakery products","Cereals","2016-10-01","50824","2024-07-02"
"Cereals and bakery products","Cereals","2016-06-01","50776","2024-07-02"
"Cereals and bakery products","Cereals","2015-12-01","50058","2024-07-02"
"Cereals and bakery products","Cereals","2015-11-01","50050","2024-07-02"
"Cereals and bakery products","Cereals","2015-09-01","49996","2024-07-02"
"Cereals and bakery products","Cereals","2014-12-01","49502","2024-07-02"
"Cereals and bakery products","Cereals","2014-11-01","49420","2024-07-02"
"Cereals and bakery products","Cereals","2014-10-01","49314","2024-07-02"
"Cereals and bakery products","Cereals","2013-12-01","48229","2024-07-02"
"Cereals and bakery products","Cereals","2013-07-01","48060","2024-07-02"
"Cereals and bakery products","Cereals","2013-09-01","47992","2024-07-02"
"Cereals and bakery products","Cereals","2012-12-01","47533","2024-07-02"
"Cereals and bakery products","Cereals","2012-11-01","47466","2024-07-02"
"Cereals and bakery products","Cereals","2012-10-01","47408","2024-07-02"
"Cereals and bakery products","Cereals","2011-11-01","45130","2024-07-02"
"Cereals and bakery products","Cereals","2011-12-01","45107","2024-07-02"
"Cereals and bakery products","Cereals","2011-10-01","44948","2024-07-02"
"Cereals and bakery products","Cereals","2009-12-01","42206","2024-07-02"
"Cereals and bakery products","Cereals","2009-10-01","42087","2024-07-02"
"Cereals and bakery products","Cereals","2009-09-01","42069","2024-07-02"
"Cereals and bakery products","Cereals","2010-11-01","42726","2024-07-02"
"Cereals and bakery products","Cereals","2010-12-01","42724","2024-07-02"
"Cereals and bakery products","Cereals","2010-02-01","42696","2024-07-02"
"Cereals and bakery products","Cereals","2008-11-01","41349","2024-07-02"
"Cereals and bakery products","Cereals","2008-12-01","41295","2024-07-02"
"Cereals and bakery products","Cereals","2008-10-01","41099","2024-07-02"
"Cereals and bakery products","Cereals","2007-12-01","38339","2024-07-02"
"Cereals and bakery products","Cereals","2007-11-01","38034","2024-07-02"
"Cereals and bakery products","Cereals","2007-10-01","37638","2024-07-02"
"Cereals and bakery products","Cereals","2006-12-01","36081","2024-07-02"
"Cereals and bakery products","Cereals","2006-10-01","35708","2024-07-02"
"Cereals and bakery products","Cereals","2006-11-01","35604","2024-07-02"
"Cereals and bakery products","Cereals","2005-12-01","33508","2024-07-02"
"Cereals and bakery products","Cereals","2005-11-01","33429","2024-07-02"
"Cereals and bakery products","Cereals","2005-10-01","33294","2024-07-02"
"Cereals and bakery products","Cereals","2004-12-01","31285","2024-07-02"
"Cereals and bakery products","Cereals","2004-11-01","31106","2024-07-02"
"Cereals and bakery products","Cereals","2004-10-01","30864","2024-07-02"
"Cereals and bakery products","Cereals","2003-11-01","29491","2024-07-02"
"Cereals and bakery products","Cereals","2003-12-01","29469","2024-07-02"
"Cereals and bakery products","Cereals","2003-08-01","29372","2024-07-02"
"Cereals and bakery products","Cereals","2002-11-01","27240","2024-07-02"
"Cereals and bakery products","Cereals","2002-03-01","27234","2024-07-02"
"Cereals and bakery products","Cereals","2002-02-01","27174","2024-07-02"
"Cereals and bakery products","Cereals","2001-05-01","27439","2024-07-02"
"Cereals and bakery products","Cereals","2001-09-01","27433","2024-07-02"
"Cereals and bakery products","Cereals","2001-12-01","27432","2024-07-02"
"Cereals and bakery products","Cereals","2000-12-01","27359","2024-07-02"
"Cereals and bakery products","Cereals","2000-10-01","27194","2024-07-02"
"Cereals and bakery products","Cereals","2000-11-01","27087","2024-07-02"
"Cereals and bakery products","Cereals","1999-12-01","27600","2024-07-02"
"Cereals and bakery products","Cereals","1999-09-01","26704","2024-07-02"
"Cereals and bakery products","Cereals","1999-11-01","26607","2024-07-02"
"Cereals and bakery products","Cereals","1998-12-01","26200","2024-07-02"
"Cereals and bakery products","Cereals","1998-11-01","26032","2024-07-02"
"Cereals and bakery products","Cereals","1998-10-01","25971","2024-07-02"
"Cereals and bakery products","Cereals","1997-03-01","26082","2024-07-02"
"Cereals and bakery products","Cereals","1997-02-01","26035","2024-07-02"
"Cereals and bakery products","Cereals","1997-04-01","25964","2024-07-02"
"Cereals and bakery products","Cereals","1996-12-01","25730","2024-07-02"
"Cereals and bakery products","Cereals","1996-11-01","25591","2024-07-02"
"Cereals and bakery products","Cereals","1996-10-01","25497","2024-07-02"
"Cereals and bakery products","Cereals","1995-12-01","24500","2024-07-02"
"Cereals and bakery products","Cereals","1995-11-01","24185","2024-07-02"
"Cereals and bakery products","Cereals","1995-10-01","24119","2024-07-02"
"Cereals and bakery products","Cereals","1994-12-01","23762","2024-07-02"
"Cereals and bakery products","Cereals","1994-11-01","23676","2024-07-02"
"Cereals and bakery products","Cereals","1994-10-01","23644","2024-07-02"
"Cereals and bakery products","Cereals","1993-12-01","22687","2024-07-02"
"Cereals and bakery products","Cereals","1993-11-01","22565","2024-07-02"
"Cereals and bakery products","Cereals","1993-10-01","22438","2024-07-02"
"Cereals and bakery products","Cereals","1992-10-01","21904","2024-07-02"
"Cereals and bakery products","Cereals","1992-11-01","21822","2024-07-02"
"Cereals and bakery products","Cereals","1992-12-01","21807","2024-07-02"
"Cereals and bakery products","Cereals","1991-11-01","21023","2024-07-02"
"Cereals and bakery products","Cereals","1991-05-01","20973","2024-07-02"
"Cereals and bakery products","Cereals","1991-08-01","20955","2024-07-02"
"Cereals and bakery products","Cereals","1990-11-01","20052","2024-07-02"
"Cereals and bakery products","Cereals","1990-09-01","20022","2024-07-02"
"Cereals and bakery products","Cereals","1990-12-01","19911","2024-07-02"
"Cereals and bakery products","Cereals","1989-12-01","18585","2024-07-02"
"Cereals and bakery products","Cereals","1989-11-01","18287","2024-07-02"
"Cereals and bakery products","Cereals","1989-10-01","18084","2024-07-02"
"Cereals and bakery products","Cereals","1988-11-01","16665","2024-07-02"
"Cereals and bakery products","Cereals","1988-12-01","16652","2024-07-02"
"Cereals and bakery products","Cereals","1988-10-01","16505","2024-07-02"
"Cereals and bakery products","Cereals","1987-12-01","14972","2024-07-02"
"Cereals and bakery products","Cereals","1987-11-01","14845","2024-07-02"
"Cereals and bakery products","Cereals","1987-10-01","14797","2024-07-02"
"Cereals and bakery products","Cereals","1986-12-01","14114","2024-07-02"
"Cereals and bakery products","Cereals","1986-11-01","14000","2024-07-02"
"Cereals and bakery products","Cereals","1986-10-01","13910","2024-07-02"
"Cereals and bakery products","Cereals","1985-12-01","12929","2024-07-02"
"Cereals and bakery products","Cereals","1985-11-01","12745","2024-07-02"
"Cereals and bakery products","Cereals","1985-10-01","12532","2024-07-02"
"Cereals and bakery products","Cereals","1984-11-01","12221","2024-07-02"
"Cereals and bakery products","Cereals","1984-09-01","12185","2024-07-02"
"Cereals and bakery products","Cereals","1984-12-01","12134","2024-07-02"
"Cereals and bakery products","Cereals","1982-07-01","11786","2024-07-02"
"Cereals and bakery products","Cereals","1982-05-01","11745","2024-07-02"
"Cereals and bakery products","Cereals","1982-02-01","11720","2024-07-02"
"Cereals and bakery products","Cereals","1983-12-01","11300","2024-07-02"
"Cereals and bakery products","Cereals","1983-11-01","11296","2024-07-02"
"Cereals and bakery products","Cereals","1983-02-01","11247","2024-07-02"
"Cereals and bakery products","Cereals","1981-12-01","11644","2024-07-02"
"Cereals and bakery products","Cereals","1981-10-01","11583","2024-07-02"
"Cereals and bakery products","Cereals","1981-11-01","11540","2024-07-02"
"Cereals and bakery products","Cereals","1980-12-01","10758","2024-07-02"
"Cereals and bakery products","Cereals","1980-11-01","10621","2024-07-02"
"Cereals and bakery products","Cereals","1980-10-01","10516","2024-07-02"
"Cereals and bakery products","Cereals","1979-12-01","9141","2024-07-02"
"Cereals and bakery products","Cereals","1979-11-01","9081","2024-07-02"
"Cereals and bakery products","Cereals","1979-10-01","8820","2024-07-02"
"Cereals and bakery products","Cereals","1978-12-01","7724","2024-07-02"
"Cereals and bakery products","Cereals","1978-11-01","7588","2024-07-02"
"Cereals and bakery products","Cereals","1978-09-01","7455","2024-07-02"
"Cereals and bakery products","Cereals","1977-11-01","7318","2024-07-02"
"Cereals and bakery products","Cereals","1977-12-01","7179","2024-07-02"
"Cereals and bakery products","Cereals","1977-10-01","7123","2024-07-02"
"Cereals and bakery products","Cereals","1976-12-01","6739","2024-07-02"
"Cereals and bakery products","Cereals","1976-10-01","6678","2024-07-02"
"Cereals and bakery products","Cereals","1976-11-01","6632","2024-07-02"
"Cereals and bakery products","Cereals","1975-08-01","6372","2024-07-02"
"Cereals and bakery products","Cereals","1975-11-01","6360","2024-07-02"
"Cereals and bakery products","Cereals","1975-07-01","6356","2024-07-02"
"Cereals and bakery products","Cereals","1974-11-01","6000","2024-07-02"
"Cereals and bakery products","Cereals","1974-12-01","5913","2024-07-02"
"Cereals and bakery products","Cereals","1974-10-01","5892","2024-07-02"
"Cereals and bakery products","Cereals","1973-12-01","4745","2024-07-02"
"Cereals and bakery products","Cereals","1973-11-01","4604","2024-07-02"
"Cereals and bakery products","Cereals","1973-10-01","4483","2024-07-02"
"Cereals and bakery products","Cereals","2021-01-01","61675","2024-07-02"
"Cereals and bakery products","Cereals","1972-12-01","3770","2024-07-02"
"Cereals and bakery products","Cereals","1972-11-01","3733","2024-07-02"
"Cereals and bakery products","Cereals","1972-10-01","3709","2024-07-02"
"Cereals and bakery products","Cereals","1971-12-01","3451","2024-07-02"
"Cereals and bakery products","Cereals","1971-11-01","3411","2024-07-02"
"Cereals and bakery products","Cereals","1971-10-01","3394","2024-07-02"
"Cereals and bakery products","Cereals","1970-12-01","3082","2024-07-02"
"Cereals and bakery products","Cereals","1970-11-01","2973","2024-07-02"
"Cereals and bakery products","Cereals","1970-10-01","2902","2024-07-02"
"Cereals and bakery products","Cereals","1969-12-01","2604","2024-07-02"
"Cereals and bakery products","Cereals","1969-11-01","2577","2024-07-02"
"Cereals and bakery products","Cereals","1969-10-01","2562","2024-07-02"
"Cereals and bakery products","Cereals","1968-11-01","2429","2024-07-02"
"Cereals and bakery products","Cereals","1968-12-01","2397","2024-07-02"
"Cereals and bakery products","Cereals","1968-08-01","2380","2024-07-02"
"Cereals and bakery products","Cereals","1967-12-01","2228","2024-07-02"
"Cereals and bakery products","Cereals","1967-01-01","2197","2024-07-02"
"Cereals and bakery products","Cereals","1967-02-01","2183","2024-07-02"
"Cereals and bakery products","Cereals","1966-07-01","2229","2024-07-02"
"Cereals and bakery products","Cereals","1966-09-01","2215","2024-07-02"
"Cereals and bakery products","Cereals","1966-04-01","2207","2024-07-02"
"Cereals and bakery products","Cereals","1965-12-01","2121","2024-07-02"
"Cereals and bakery products","Cereals","1965-10-01","2107","2024-07-02"
"Cereals and bakery products","Cereals","1965-11-01","2071","2024-07-02"
"Cereals and bakery products","Cereals","1964-12-01","2038","2024-07-02"
"Cereals and bakery products","Cereals","1964-08-01","2011","2024-07-02"
"Cereals and bakery products","Cereals","1964-07-01","2003","2024-07-02"
"Cereals and bakery products","Cereals","1963-11-01","1857","2024-07-02"
"Cereals and bakery products","Cereals","1963-12-01","1852","2024-07-02"
"Cereals and bakery products","Cereals","1963-08-01","1845","2024-07-02"
"Cereals and bakery products","Cereals","1961-04-01","1886","2024-07-02"
"Cereals and bakery products","Cereals","1961-03-01","1879","2024-07-02"
"Cereals and bakery products","Cereals","1961-05-01","1878","2024-07-02"
"Cereals and bakery products","Cereals","1962-02-01","1824","2024-07-02"
"Cereals and bakery products","Cereals","1962-03-01","1817","2024-07-02"
"Cereals and bakery products","Cereals","1962-01-01","1815","2024-07-02"
"Cereals and bakery products","Cereals","1960-11-01","1855","2024-07-02"
"Cereals and bakery products","Cereals","1960-12-01","1823","2024-07-02"
"Cereals and bakery products","Cereals","1960-10-01","1810","2024-07-02"
"Cereals and bakery products","Cereals","1959-12-01","1652","2024-07-02"
"Cereals and bakery products","Cereals","1959-11-01","1604","2024-07-02"
"Cereals and bakery products","Cereals","1959-10-01","1603","2024-07-02"
